area,ciudad,conglomerado,panelm,vivienda,hogar,p01,p02,p03,p04,p05a,p05b,p06,p07,p08,p09,p10a,p10b,p11,p12a,p12b,p15,p15aa,p15ab,cod_inf,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p42a,p43,p44a,p44b,p44c,p44d,p44e,p44f,p44g,p44h,p44i,p44j,p44k,p45,p46,p47a,p47b,p48,p49,p50,p51a,p51b,p51c,p52,p53,p54,p54a,p55,p56a,p56b,p57,p58,p61b1,p63,p64a,p64b,p65,p66,p67,p68a,p68b,p69,p70a,p70b,p71a,p71b,p72a,p72b,p73a,p73b,p74a,p74b,p75,p76,p77,p78,sd01,sd021,sd022,sd023,sd024,sd025,sd026,sd027,sd028,sd029,sd0210,sd0211,sd03,ced01a,estrato,fexp,nnivins,ingrl,ingpc,condact,empleo,desempleo,secemp,grupo1,rama1,prov,dominio,pobreza,epobreza,upm,id_vivienda,id_hogar,id_persona,periodo,mes
1,170150,170150,58,3,1,3,1,34,3,10,10,6,2, ,3,4,4,1, , ,6,1, ,1,1, , , ,24,3, ,2,1,16,1,1, , , , , , , , ,4100,7112,4, ,6,2,2,2,2,2,2,2,2,2,2,2,17,2,1,2,3,2,1,24, , , , , , , , , , , ,5, , , , ,300,0,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"19,8326107497714",3,300.0,"133,333333333333",2,1, ,2,7,6,17,1,0,0,170150157403,1701501574030580303,17015015740305803103,1701501574030580310303,202503,3
1,170150,170150,47,3,1,1,1,34,1,1,10,6,2, ,11,6,6, , , ,6,1, ,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,4520,7231,2, ,2,1,2,2,1,1,1,2,2,2,1,1,15,1,1,8,3,1,1,40, , , , , , , , , , , ,1, , , , ,600,60,1,70, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"28,0450786696597",4,730.0,730,1,1, ,1,7,7,17,1,0,0,170150046806,1701500468060470302,17015004680604703102,1701500468060470310102,202502,2
1,170150,170150,58,6,1,3,2,32,3,1,10,3,2, ,2,9,4, ,1,30910401,6,1, ,3,1, , , ,40, ,1,4, , , , , , , , , , , , ,8412,1342,1, ,3,2,2,2,1,2,1,2,2,2,1,1,4,1,2, , , ,1,40, , , , , , , , , , , ,1, , , , ,1500,150,2, , , , ,2, ,1,200,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"39,2722818936586",5,1650.0,1050,1,1, ,1,1,15,17,1,0,0,170150134904,1701501349040580612,17015013490405806112,1701501349040580610312,202512,12
1,170150,170150,72,5,1,2,2,30,2,10,10,5,2, ,11,5,10,1, , ,6,2,40650,2,2,12,2, , , , , , , , , ,11, ,9, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"49,6251482108872",3,0.0,"212,5",9, , , , , ,17,1,0,0,170150025202,1701500252020720508,17015002520207205108,1701500252020720510208,202508,8
2,170252,170252,52,2,1,1,2,35,1,1,10,2,2, ,5,4,6,1, , ,6,2,170255,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,119,6113,2, ,2,2,2,2,1,1,1,2,2,2,1,1,8,11,2, , , ,1,40, , , , , , , , , , , ,1, , , , ,460,60,1,8, , , ,2, ,2, ,1,60,2, ,2, ,2, , , , , , , , , , , , , , ,1,1722,"210,820099298276",3,528.0,"101,333333333333",1,1, ,1,6,1,17,6,0,0,170252900103,1702529001030520201,17025290010305202101,1702529001030520210101,202501,1
2,170168,170168,53,9,1,1,1,30,1,10,10,1,2, ,5,7,3, , , ,6,2,100352,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,9700,5414,10, ,3,2,1,2,2,2,2,2,2,2,2,2,0,8,1,3, , ,1,40, , , , , , , , , , , ,5, , , , ,550,0,1,80, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1722,"54,6391228818191",4,630.0,"171,25",1,1, ,3,5,20,17,6,0,0,170168900603,1701689006030530901,17016890060305309101,1701689006030530910101,202501,1
1,170150,170150,72,8,1,2,1,30,3,1,10,6,2, ,2,9,5, ,1,31010201,6,1, ,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,5610,3434,2, ,2,2,2,2,1,2,1,2,2,2,1,1,4,1,1,30,1,1,1,40, , , , , , , , , , , ,1, , , , ,1000,100,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"48,9652039458317",5,1100.0,1335,1,1, ,1,3,9,17,1,0,0,170150261702,1701502617020720808,17015026170207208108,1701502617020720810208,202508,8
1,170150,170150,72,4,1,2,2,35,2,1,10,1,2, ,2,9,4, ,1,30110201,6,1, ,2,1, , , ,30,1, ,1,1,10,7, , , , , , , , , ,8521,2341,2, ,2,2,2,2,1,2,1,2,2,2,1,1,13,1,1,65,1,1,1,30, , , , , , , , , , , ,1, , , , ,700,45,2, , , , ,2, ,2, ,1,170,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"187,804987780418",5,745.0,"491,25",2,1, ,1,2,16,17,1,0,0,170150233201,1701502332010720408,17015023320107204108,1701502332010720410208,202508,8
1,170150,170150,74,4,1,1,1,30,1,4,10,5,2, ,2,10,2, ,1,50320101,6,1, ,2,1, , , ,40, ,1,4, , , , , , , , , , , , ,8422,210,1, ,1,2,2,2,1,2,1,2,2,2,1,1,11,1,2, , , ,1,40, , , , , , , , , , , ,4, , , , ,700,256,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"28,3285406837809",5,956.0,460,1,1, ,1,10,15,17,1,0,0,170150148404,1701501484040740410,17015014840407404110,1701501484040740410110,202510,10
1,170150,170150,72,10,1,2,2,35,2,10,10,1,2, ,2,9,5, ,1,30410102,6,1, ,2,2,12,2, , , , , , , , , ,11, ,9, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"20,8717191626633",5,0.0,"206,25",9, , , , , ,17,1,0,0,170150199502,1701501995020721008,17015019950207210108,1701501995020721010208,202508,8
1,170150,170150,65,5,1,1,1,30,1,1,10,1,2, ,5,7,3, , , ,5,2,120850,2,1, , , ,50, ,1,4, , , , , , , , , , , , ,2395,8114,2, ,2,2,2,2,1,1,1,2,2,2,1,1,8,1,2, , , ,1,50, , , , , , , , , , , ,1, , , , ,550,600,1,20, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"89,6761669860873",4,1170.0,585,1,1, ,1,8,3,17,1,0,0,170150355403,1701503554030650507,17015035540306505107,1701503554030650510107,202507,7
