area,ciudad,conglomerado,panelm,vivienda,hogar,p01,p02,p03,p04,p05a,p05b,p06,p07,p08,p09,p10a,p10b,p11,p12a,p12b,p15,p15aa,p15ab,cod_inf,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p42a,p43,p44a,p44b,p44c,p44d,p44e,p44f,p44g,p44h,p44i,p44j,p44k,p45,p46,p47a,p47b,p48,p49,p50,p51a,p51b,p51c,p52,p53,p54,p54a,p55,p56a,p56b,p57,p58,p61b1,p63,p64a,p64b,p65,p66,p67,p68a,p68b,p69,p70a,p70b,p71a,p71b,p72a,p72b,p73a,p73b,p74a,p74b,p75,p76,p77,p78,sd01,sd021,sd022,sd023,sd024,sd025,sd026,sd027,sd028,sd029,sd0210,sd0211,sd03,ced01a,estrato,fexp,nnivins,ingrl,ingpc,condact,empleo,desempleo,secemp,grupo1,rama1,prov,dominio,pobreza,epobreza,upm,id_vivienda,id_hogar,id_persona,periodo,mes
1,170150,170150,55,1,1,1,2,20,1,1,6,6,1,6, ,7,3, , , ,6,2,160150,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,4772,5223,2, ,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2, , , ,1,40, , , , , , , , , , , ,1, , , , ,420,50,1,6, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"23,2175036764426",4,476.0,476,1,1, ,1,5,7,17,1,0,0,170150033902,1701500339020550102,17015003390205501102,1701500339020550110102,202502,2
1,170352,170352,67,5,1,3,2,21,3,10,10,6,1,1, ,8,1, ,2, ,4,1, ,1,2,12,2, , , , , , , , , ,11, ,9, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,1,100,2, ,2, ,2, , , , , , , , , , , , , , ,1,1711,"129,008460084534",5,0.0,"63,3333333333333",9, , , , , ,17,6,1,0,170352019702,1703520197020670506,17035201970206705106,1703520197020670510306,202506,6
2,170353,170353,76,1,1,3,2,22,3,10,10,5,2, ,11,7,3, , , ,6,2,130150,1,2,12,2, , , , , , , , , ,11, ,8, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1722,"36,6859342077284",4,0.0,"164,285714285714",9, , , , , ,17,6,0,0,170353900302,1703539003020760112,17035390030207601112,1703539003020760110312,202512,12
2,170353,170353,73,9,1,7,2,21,3,10,10,6,2, ,3,7,3, , , ,2,1, ,1,2,12,2, , , , , , , , , ,11, ,7,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2,2,2,1,1,2,2,2,2,2,2,2,8,1,1722,"29,9333903779381",4,0.0,"133,333333333333",8, ,1, , , ,17,6,0,0,170353900201,1703539002010730909,17035390020107309109,1703539002010730910709,202509,9
2,170255,170255,75,4,1,2,1,23,5,10,10,6,2, ,7,1, ,2, , ,6,1, ,1,2,12,2, , , , , , , , , ,11, ,11, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1723,"43,5657368727752",1,0.0,"2,5",9, , , , , ,17,6,1,1,170255900802,1702559008020750411,17025590080207504111,1702559008020750410211,202511,11
1,170150,170150,70,2,1,2,1,25,7,1,10,6,2, ,2,8,3, ,1,20710505,6,2,121050,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,5223,3155,2, ,3,1,2,1,1,1,1,2,2,2,1,1,2,1,2, , , ,1,40, , , , , , , , , , , ,1, , , , ,740,80,1,100, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"17,9074333965316",5,920.0,"607,5",1,1, ,1,3,8,17,1,0,0,170150355906,1701503559060700209,17015035590607002109,1701503559060700210209,202509,9
1,170150,170150,64,7,1,2,2,18,3,10,10,6,1,2, ,7,3, , , ,6,1, ,1,2,12,2, , , , , , , , , ,11, ,9, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"250,413896917991",4,0.0,"183,333333333333",9, , , , , ,17,1,0,0,170150356803,1701503568030640706,17015035680306407106,1701503568030640710206,202506,6
1,170150,170150,63,1,1,4,1,25,7,1,10,6,2, ,2,9,5, ,1,30710602,6,1, ,2,1, , , ,40, ,1,2,1,20,3,4, , , , , , , , ,4520,2144,2, ,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,5,1,1,1,40, , , , , , , , , , , ,1, , , , ,420,43,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,3,2513,"68,4931964427148",5,463.0,"236,5",3,1, ,1,2,7,17,1,0,0,170150062402,1701500624020630102,17015006240206301102,1701500624020630110402,202502,2
1,170150,170150,70,7,1,3,2,22,3,10,10,6,1,6, ,9,3, ,2, ,6,1, ,2,2,12,2, , , , , , , , , ,8,52, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2,2,1,1,2,2,2,2,2,2,2,2,8,1,2513,"51,3848048283161",5,0.0,87,7, ,1, , , ,17,1,1,0,170150035601,1701500356010700712,17015003560107007112,1701500356010700710312,202512,12
1,170150,170150,67,8,1,3,1,23,3,4,10,6,2, ,2,8,3, ,1,21030104,6,1, ,3,1, , , ,40, ,1,4, , , , , , , , , , , , ,8422,210,1, ,1,2,2,2,1,2,1,2,2,2,1,1,2,1,2, , , ,1,40, , , , , , , , , , , ,4, , , , ,920,210,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"21,586270773617",5,1130.0,"763,333333333333",1,1, ,1,10,15,17,1,0,0,170150089704,1701500897040670806,17015008970406708106,1701500897040670810306,202506,6
